學校代碼,學校名稱,日間∕進修別,等級別,總計,男生計,女生計,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別
0048,國立金門大學,P 進,B 學士,829,467,362,128,95,89,89,110,72,99,90,-,-,-,-,-,-,41,16,71 金門縣,1 一般
0049,國立臺灣體育運動大學,D 日,D 博士,13,5,8,2,3,3,5,-,-,-,-,-,-,-,-,-,-,-,-,19 臺中市,1 一般
0049,國立臺灣體育運動大學,D 日,M 碩士,260,133,127,42,44,38,34,29,23,20,25,2,-,1,-,1,1,-,-,19 臺中市,1 一般
0049,國立臺灣體育運動大學,D 日,B 學士,"2,346","1,349",997,364,211,317,251,298,232,280,244,-,-,-,-,-,-,90,59,19 臺中市,1 一般
0049,國立臺灣體育運動大學,N 職,M 碩士,114,72,42,28,14,24,14,14,7,5,3,1,2,-,2,-,-,-,-,19 臺中市,1 一般
0049,國立臺灣體育運動大學,P 進,B 學士,388,273,115,73,30,64,22,57,22,49,28,-,-,-,-,-,-,30,13,19 臺中市,1 一般
0050,國立臺中科技大學,D 日,M 碩士,430,178,252,80,110,65,98,24,30,9,14,-,-,-,-,-,-,-,-,19 臺中市,2 技職
0050,國立臺中科技大學,D 日,B 四技,"5,424","1,740","3,684",498,932,413,918,394,868,374,889,-,-,-,-,-,-,61,77,19 臺中市,2 技職
0050,國立臺中科技大學,D 日,C 二技,"1,346",282,"1,064",-,-,-,-,135,503,137,533,-,-,-,-,-,-,10,28,19 臺中市,2 技職
0050,國立臺中科技大學,D 日,5 五專,"3,564",966,"2,598",215,512,211,551,211,536,163,499,141,445,-,-,-,-,25,55,19 臺中市,2 技職
0050,國立臺中科技大學,N 職,M 碩士,244,102,142,49,73,35,54,12,10,6,5,-,-,-,-,-,-,-,-,19 臺中市,2 技職
0050,國立臺中科技大學,N 修,B 四技,"2,179",763,"1,416",228,345,170,310,166,332,147,351,-,-,-,-,-,-,52,78,19 臺中市,2 技職
0050,國立臺中科技大學,N 修,C 二技,"1,808",594,"1,214",-,-,-,-,274,628,275,516,-,-,-,-,-,-,45,70,19 臺中市,2 技職
0050,國立臺中科技大學,N 修,2 二專,"1,196",456,740,222,361,188,324,-,-,-,-,-,-,-,-,-,-,46,55,19 臺中市,2 技職
0051,國立臺北商業大學,D 日,D 博士,8,7,1,3,-,2,1,2,-,-,-,-,-,-,-,-,-,-,-,30 臺北市,2 技職
0051,國立臺北商業大學,D 日,M 碩士,301,129,172,51,77,69,87,5,8,4,-,-,-,-,-,-,-,-,-,30 臺北市,2 技職
0051,國立臺北商業大學,D 日,B 四技,"2,461",786,"1,675",205,400,185,408,203,431,177,394,-,-,-,-,-,-,16,42,30 臺北市,2 技職
0051,國立臺北商業大學,D 日,C 二技,645,138,507,-,-,-,-,61,239,67,260,-,-,-,-,-,-,10,8,30 臺北市,2 技職
0051,國立臺北商業大學,D 日,5 五專,"1,704",482,"1,222",93,224,94,255,94,251,106,218,84,247,-,-,-,-,11,27,30 臺北市,2 技職
0051,國立臺北商業大學,N 職,M 碩士,68,28,40,14,21,10,15,4,4,-,-,-,-,-,-,-,-,-,-,30 臺北市,2 技職
0051,國立臺北商業大學,N 修,B 四技,907,327,580,101,159,95,148,68,137,52,113,-,-,-,-,-,-,11,23,30 臺北市,2 技職
0051,國立臺北商業大學,N 修,C 二技,903,308,595,-,-,-,-,149,276,143,297,-,-,-,-,-,-,16,22,30 臺北市,2 技職
0051,國立臺北商業大學,N 修,2 二專,493,159,334,83,173,76,161,-,-,-,-,-,-,-,-,-,-,-,-,30 臺北市,2 技職
0052,國立屏東大學,D 日,D 博士,47,24,23,4,6,7,3,3,5,3,4,2,3,3,1,2,1,-,-,13 屏東縣,1 一般
0052,國立屏東大學,D 日,M 碩士,910,340,570,144,219,113,174,37,108,46,66,-,3,-,-,-,-,-,-,13 屏東縣,1 一般
0052,國立屏東大學,D 日,B 學士,"6,630","2,786","3,844",739,933,681,917,649,916,609,971,-,-,-,-,-,-,108,107,13 屏東縣,1 一般
0052,國立屏東大學,N 職,M 碩士,727,227,500,74,165,69,136,34,101,30,49,16,38,4,10,-,1,-,-,13 屏東縣,1 一般
0052,國立屏東大學,P 進,B 學士,823,388,435,99,109,102,127,68,93,78,80,-,-,-,-,-,-,41,26,13 屏東縣,1 一般
0053,國立高雄科技大學,D 日,D 博士,621,465,156,110,52,79,26,79,30,64,16,55,7,25,12,53,13,-,-,50 高雄市,2 技職
0053,國立高雄科技大學,D 日,M 碩士,"2,530","1,722",808,803,428,711,279,138,62,69,39,-,-,1,-,-,-,-,-,50 高雄市,2 技職
0053,國立高雄科技大學,D 日,B 四技,"17,453","10,790","6,663","2,702","1,728","2,708","1,660","2,461","1,604","2,523","1,518",-,-,-,-,-,-,396,153,50 高雄市,2 技職
0053,國立高雄科技大學,D 日,C 二技,439,269,170,-,-,-,-,123,82,105,71,-,-,-,-,-,-,41,17,50 高雄市,2 技職
0053,國立高雄科技大學,D 日,5 五專,798,650,148,129,30,109,34,140,33,175,33,75,17,-,-,-,-,22,1,50 高雄市,2 技職
0053,國立高雄科技大學,N 職,M 碩士,"2,010","1,290",720,489,330,454,282,167,63,87,23,50,9,43,13,-,-,-,-,50 高雄市,2 技職
0053,國立高雄科技大學,N 修,B 四技,"3,938","2,640","1,298",630,309,597,302,605,313,563,306,-,-,-,-,-,-,245,68,50 高雄市,2 技職
0053,國立高雄科技大學,N 修,C 二技,113,69,44,-,-,-,-,34,24,29,17,-,-,-,-,-,-,6,3,50 高雄市,2 技職
0144,國立臺灣戲曲學院,D 日,B 四技,539,186,353,49,84,51,83,33,87,44,82,-,-,-,-,-,-,9,17,30 臺北市,2 技職
0144,國立臺灣戲曲學院,N 修,B 四技,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,30 臺北市,2 技職
0221,國立臺南護理專科學校,D 日,2 二專,99,7,92,1,37,6,52,-,-,-,-,-,-,-,-,-,-,-,3,21 臺南市,2 技職
0221,國立臺南護理專科學校,D 日,5 五專,"1,804",163,"1,641",32,340,36,335,33,319,31,317,29,321,-,-,-,-,2,9,21 臺南市,2 技職
0221,國立臺南護理專科學校,N 修,2 二專,23,6,17,6,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21 臺南市,2 技職
0222,國立臺東專科學校,D 日,2 二專,573,407,166,184,86,216,77,-,-,-,-,-,-,-,-,-,-,7,3,14 臺東縣,2 技職
0222,國立臺東專科學校,D 日,5 五專,266,127,139,25,14,21,17,31,23,16,28,24,44,-,-,-,-,10,13,14 臺東縣,2 技職
0222,國立臺東專科學校,N 修,2 二專,116,65,51,24,28,36,21,-,-,-,-,-,-,-,-,-,-,5,2,14 臺東縣,2 技職
1001,東海大學,D 日,D 博士,253,152,101,29,13,18,10,21,23,24,14,24,12,15,8,21,21,-,-,19 臺中市,1 一般
1001,東海大學,D 日,M 碩士,"1,300",631,669,220,271,208,184,93,125,100,80,2,5,8,4,-,-,-,-,19 臺中市,1 一般
1001,東海大學,D 日,B 學士,"13,147","5,830","7,317","1,529","1,793","1,405","1,764","1,242","1,788","1,315","1,736",9,18,-,-,-,-,330,218,19 臺中市,1 一般
1001,東海大學,N 職,M 碩士,763,380,383,129,138,112,119,53,63,37,31,25,19,24,13,-,-,-,-,19 臺中市,1 一般
1001,東海大學,P 進,B 學士,404,209,195,21,27,34,32,31,31,52,47,34,44,-,-,-,-,37,14,19 臺中市,1 一般
1002,輔仁大學,D 日,D 博士,427,228,199,39,34,35,25,40,35,30,27,32,29,21,24,31,25,-,-,01 新北市,1 一般
1002,輔仁大學,D 日,M 碩士,"1,969",799,"1,170",300,458,232,340,155,232,105,133,5,6,2,1,-,-,-,-,01 新北市,1 一般
1002,輔仁大學,D 日,B 學士,"17,751","7,282","10,469","1,794","2,510","1,655","2,682","1,715","2,461","1,604","2,456",38,13,35,17,-,-,441,330,01 新北市,1 一般
1002,輔仁大學,N 職,M 碩士,"1,492",553,939,214,325,166,307,81,147,42,75,25,51,25,34,-,-,-,-,01 新北市,1 一般
1002,輔仁大學,N 修,C 二技,58,2,56,-,-,-,-,1,36,-,20,-,-,-,-,-,-,1,-,01 新北市,2 技職
1002,輔仁大學,P 進,B 學士,"4,063","1,565","2,498",430,613,362,560,330,575,290,540,-,-,-,-,-,-,153,210,01 新北市,1 一般
1003,東吳大學,D 日,D 博士,127,70,57,9,9,9,6,12,12,4,6,13,8,14,11,9,5,-,-,30 臺北市,1 一般
1003,東吳大學,D 日,M 碩士,"1,317",587,730,191,246,185,185,96,145,111,147,4,7,-,-,-,-,-,-,30 臺北市,1 一般
1003,東吳大學,D 日,B 學士,"11,851","4,621","7,230","1,095","1,745","1,072","1,709","1,046","1,732","1,024","1,603",98,142,-,-,-,-,286,299,30 臺北市,1 一般
1003,東吳大學,N 職,M 碩士,"1,209",567,642,146,190,140,157,100,109,62,86,69,41,50,59,-,-,-,-,30 臺北市,1 一般
1003,東吳大學,P 進,B 學士,954,358,596,62,82,85,143,76,142,73,127,42,81,-,-,-,-,20,21,30 臺北市,1 一般
1004,中原大學,D 日,D 博士,353,244,109,51,24,36,21,46,20,45,22,17,8,24,8,25,6,-,-,03 桃園市,1 一般
1004,中原大學,D 日,M 碩士,"1,612",937,675,405,281,348,215,107,95,69,68,7,13,1,3,-,-,-,-,03 桃園市,1 一般
1004,中原大學,D 日,B 學士,"13,658","7,180","6,478","1,686","1,630","1,633","1,530","1,616","1,511","1,626","1,471",82,80,-,-,-,-,537,256,03 桃園市,1 一般
1004,中原大學,N 職,M 碩士,906,528,378,207,151,160,141,49,37,30,16,47,19,33,11,2,3,-,-,03 桃園市,1 一般
1005,淡江大學,D 日,D 博士,374,257,117,47,24,38,17,41,18,33,19,36,11,35,17,27,11,-,-,01 新北市,1 一般
1005,淡江大學,D 日,M 碩士,"1,528",843,685,368,294,309,220,110,90,56,81,-,-,-,-,-,-,-,-,01 新北市,1 一般
1005,淡江大學,D 日,B 學士,"20,763","10,875","9,888","2,676","2,391","2,625","2,349","2,491","2,427","2,351","2,348",37,26,-,-,-,-,695,347,01 新北市,1 一般
1005,淡江大學,N 職,M 碩士,723,376,347,122,141,135,121,48,29,37,27,24,16,10,13,-,-,-,-,01 新北市,1 一般
1005,淡江大學,P 進,B 學士,"1,146",661,485,130,94,150,92,146,118,157,133,-,-,-,-,-,-,78,48,01 新北市,1 一般
1006,中國文化大學,D 日,D 博士,505,315,190,33,33,30,21,42,22,38,17,28,24,48,18,96,55,-,-,30 臺北市,1 一般
1006,中國文化大學,D 日,M 碩士,"1,582",838,744,208,232,180,173,142,119,117,93,87,79,104,48,-,-,-,-,30 臺北市,1 一般
1006,中國文化大學,D 日,B 學士,"20,203","10,196","10,007","2,352","2,210","2,298","2,271","2,083","2,261","2,018","2,260",28,20,-,-,-,-,"1,417",985,30 臺北市,1 一般
1006,中國文化大學,N 職,M 碩士,616,232,384,49,127,49,90,33,46,37,37,28,41,36,43,-,-,-,-,30 臺北市,1 一般
1006,中國文化大學,N 修,C 二技,159,60,99,-,-,-,-,23,40,28,45,7,13,-,-,-,-,2,1,30 臺北市,2 技職
1006,中國文化大學,P 進,B 學士,"1,438",607,831,149,192,100,157,142,197,108,174,-,-,-,-,-,-,108,111,30 臺北市,1 一般
1007,逢甲大學,D 日,D 博士,417,300,117,59,24,53,24,45,14,40,19,38,11,30,9,35,16,-,-,19 臺中市,1 一般
1007,逢甲大學,D 日,M 碩士,"1,647","1,078",569,528,321,395,184,96,32,57,32,1,-,1,-,-,-,-,-,19 臺中市,1 一般
1007,逢甲大學,D 日,B 學士,"17,321","10,121","7,200","2,388","1,778","2,354","1,802","2,427","1,764","2,366","1,689",58,41,-,-,-,-,528,126,19 臺中市,1 一般
1007,逢甲大學,N 職,M 碩士,"1,122",669,453,264,188,221,188,69,40,51,8,35,19,29,10,-,-,-,-,19 臺中市,1 一般
1007,逢甲大學,P 進,B 學士,886,526,360,115,76,119,91,117,81,111,85,-,-,-,-,-,-,64,27,19 臺中市,1 一般
1008,靜宜大學,D 日,D 博士,50,22,28,6,6,2,6,3,6,3,5,2,2,5,2,1,1,-,-,06 臺中市,1 一般
1008,靜宜大學,D 日,M 碩士,652,250,402,98,163,67,122,56,70,25,46,1,-,3,1,-,-,-,-,06 臺中市,1 一般
1008,靜宜大學,D 日,B 學士,"11,138","4,339","6,799","1,068","1,608","1,053","1,667",910,"1,651",928,"1,569",-,-,-,-,-,-,380,304,06 臺中市,1 一般
1008,靜宜大學,N 職,M 碩士,333,157,176,42,56,59,50,21,24,11,22,13,11,10,8,1,5,-,-,06 臺中市,1 一般
1009,長庚大學,D 日,D 博士,443,292,151,50,29,35,22,44,17,36,22,33,15,32,12,62,34,-,-,03 桃園市,1 一般
1009,長庚大學,D 日,M 碩士,"1,062",510,552,211,227,179,175,83,84,31,46,3,14,3,6,-,-,-,-,03 桃園市,1 一般
1009,長庚大學,D 日,B 學士,"5,236","2,553","2,683",573,670,590,578,537,633,546,565,103,66,82,76,25,19,97,76,03 桃園市,1 一般
1009,長庚大學,N 職,M 碩士,189,94,95,36,48,29,39,14,4,5,3,8,1,2,-,-,-,-,-,03 桃園市,1 一般
1010,元智大學,D 日,D 博士,261,196,65,40,12,29,9,32,13,35,10,26,11,14,4,20,6,-,-,03 桃園市,1 一般
1010,元智大學,D 日,M 碩士,770,476,294,210,148,159,94,67,33,39,17,1,2,-,-,-,-,-,-,03 桃園市,1 一般
1010,元智大學,D 日,B 學士,"7,165","4,012","3,153","1,014",842,983,755,891,739,891,711,-,-,-,-,-,-,233,106,03 桃園市,1 一般
1010,元智大學,N 職,M 碩士,603,390,213,131,83,105,66,63,22,41,23,16,8,30,10,4,1,-,-,03 桃園市,1 一般
1011,中華大學,D 日,D 博士,76,55,21,11,3,12,5,11,4,9,3,3,2,2,2,7,2,-,-,18 新竹市,1 一般
1011,中華大學,D 日,M 碩士,285,183,102,106,56,39,23,24,18,13,5,1,-,-,-,-,-,-,-,18 新竹市,1 一般
1011,中華大學,D 日,B 學士,"4,113","2,725","1,388",686,324,607,316,577,295,658,375,19,7,-,-,-,-,178,71,18 新竹市,1 一般
1011,中華大學,N 職,M 碩士,155,89,66,48,33,23,28,12,2,6,3,-,-,-,-,-,-,-,-,18 新竹市,1 一般
1011,中華大學,N 修,C 二技,243,171,72,-,-,-,-,13,6,156,65,-,-,-,-,-,-,2,1,18 新竹市,2 技職
1011,中華大學,P 進,B 學士,173,117,56,52,21,21,16,15,7,21,5,-,-,-,-,-,-,8,7,18 新竹市,1 一般
1012,大葉大學,D 日,D 博士,115,83,32,11,13,15,6,17,4,12,3,10,1,13,2,5,3,-,-,07 彰化縣,1 一般
1012,大葉大學,D 日,M 碩士,392,236,156,115,79,60,34,35,27,25,15,1,1,-,-,-,-,-,-,07 彰化縣,1 一般
1012,大葉大學,D 日,B 學士,"5,638","3,018","2,620",615,543,688,595,725,644,783,753,-,-,-,-,-,-,207,85,07 彰化縣,1 一般
1012,大葉大學,N 職,M 碩士,216,82,134,49,72,14,34,7,12,2,7,3,3,7,6,-,-,-,-,07 彰化縣,1 一般
1012,大葉大學,N 修,C 二技,74,1,73,-,-,-,-,-,23,1,26,-,-,-,-,-,-,-,24,07 彰化縣,2 技職
1012,大葉大學,P 進,B 學士,340,214,126,43,25,46,16,42,27,64,53,-,-,-,-,-,-,19,5,07 彰化縣,1 一般
1013,華梵大學,D 日,D 博士,65,31,34,2,9,5,5,5,5,5,4,5,3,6,3,3,5,-,-,01 新北市,1 一般
1013,華梵大學,D 日,M 碩士,167,74,93,25,34,23,19,12,25,14,15,-,-,-,-,-,-,-,-,01 新北市,1 一般
1013,華梵大學,D 日,B 學士,668,347,321,83,100,66,65,52,40,105,98,-,-,-,-,-,-,41,18,01 新北市,1 一般
1013,華梵大學,N 職,M 碩士,190,79,111,34,60,15,28,23,16,4,2,2,-,1,5,-,-,-,-,01 新北市,1 一般
1014,義守大學,D 日,D 博士,155,107,48,16,5,21,8,15,13,16,7,13,7,15,3,11,5,-,-,12 高雄市,1 一般
1014,義守大學,D 日,M 碩士,360,200,160,84,71,75,46,31,30,10,13,-,-,-,-,-,-,-,-,12 高雄市,1 一般
1014,義守大學,D 日,B 學士,"12,061","6,091","5,970","1,467","1,487","1,462","1,460","1,462","1,377","1,287","1,408",22,29,-,-,-,-,391,209,12 高雄市,1 一般
1014,義守大學,N 職,M 碩士,342,221,121,95,65,74,41,18,7,17,3,13,4,4,1,-,-,-,-,12 高雄市,1 一般
1014,義守大學,N 修,C 二技,164,28,136,-,-,-,-,13,70,12,59,-,-,-,-,-,-,3,7,12 高雄市,2 技職
1014,義守大學,P 進,B 學士,877,637,240,206,57,75,30,111,68,167,58,-,-,-,-,-,-,78,27,12 高雄市,1 一般
1015,世新大學,D 日,D 博士,87,45,42,9,6,8,10,7,7,7,9,5,4,3,2,6,4,-,-,30 臺北市,1 一般
1015,世新大學,D 日,M 碩士,582,273,309,115,149,80,80,36,48,42,31,-,1,-,-,-,-,-,-,30 臺北市,1 一般
1015,世新大學,D 日,B 學士,"9,517","3,421","6,096",863,"1,479",813,"1,454",819,"1,485",760,"1,490",-,-,-,-,-,-,166,188,30 臺北市,1 一般
1015,世新大學,N 職,M 碩士,656,337,319,103,107,70,76,53,50,40,29,31,37,40,20,-,-,-,-,30 臺北市,1 一般
1015,世新大學,P 進,B 學士,592,218,374,76,139,40,59,36,73,54,83,-,-,-,-,-,-,12,20,30 臺北市,1 一般
1016,銘傳大學,D 日,D 博士,69,33,36,6,5,4,3,8,7,2,9,3,5,7,3,3,4,-,-,30 臺北市,1 一般
1016,銘傳大學,D 日,M 碩士,765,329,436,132,191,108,132,45,64,44,49,-,-,-,-,-,-,-,-,30 臺北市,1 一般
1016,銘傳大學,D 日,B 學士,"17,355","6,893","10,462","1,732","2,529","1,530","2,542","1,572","2,530","1,537","2,440",26,27,-,-,-,-,496,394,30 臺北市,1 一般
1016,銘傳大學,N 職,M 碩士,781,343,438,107,160,109,155,40,46,39,33,25,32,23,12,-,-,-,-,30 臺北市,1 一般
1017,實踐大學,D 日,D 博士,32,13,19,3,-,1,3,2,8,2,2,4,3,-,3,1,-,-,-,30 臺北市,1 一般
1017,實踐大學,D 日,M 碩士,383,170,213,61,71,38,66,40,44,29,31,2,1,-,-,-,-,-,-,30 臺北市,1 一般
1017,實踐大學,D 日,B 學士,"10,582","3,452","7,130",859,"1,674",843,"1,705",754,"1,728",691,"1,665",12,24,-,-,-,-,293,334,30 臺北市,1 一般
1017,實踐大學,N 職,M 碩士,117,42,75,12,23,14,25,8,13,7,13,1,1,-,-,-,-,-,-,30 臺北市,1 一般
1017,實踐大學,N 修,C 二技,98,25,73,-,-,-,-,10,28,13,35,-,-,-,-,-,-,2,10,30 臺北市,2 技職
1017,實踐大學,P 進,B 學士,"1,682",542,"1,140",78,207,132,270,139,306,139,265,-,-,-,-,-,-,54,92,30 臺北市,1 一般
1018,朝陽科技大學,D 日,D 博士,110,72,38,17,8,11,7,18,11,7,7,6,1,6,2,7,2,-,-,06 臺中市,2 技職
1018,朝陽科技大學,D 日,M 碩士,613,321,292,141,109,97,82,50,49,24,29,8,18,-,2,1,3,-,-,06 臺中市,2 技職
1018,朝陽科技大學,D 日,B 四技,"11,467","4,970","6,497","1,282","1,598","1,134","1,556","1,139","1,557","1,137","1,627",-,-,-,-,-,-,278,159,06 臺中市,2 技職
1018,朝陽科技大學,D 日,C 二技,55,19,36,-,-,-,-,12,9,6,26,-,-,-,-,-,-,1,1,06 臺中市,2 技職
1018,朝陽科技大學,N 職,M 碩士,339,152,187,39,49,39,52,17,18,18,24,16,12,16,22,7,10,-,-,06 臺中市,2 技職
1018,朝陽科技大學,N 修,B 四技,"2,071","1,051","1,020",177,182,204,203,262,275,327,286,-,-,-,-,-,-,81,74,06 臺中市,2 技職
1019,高雄醫學大學,D 日,D 博士,319,151,168,36,33,27,31,28,33,20,27,16,20,12,14,12,10,-,-,50 高雄市,1 一般
1019,高雄醫學大學,D 日,M 碩士,754,233,521,112,190,82,201,28,84,11,45,-,1,-,-,-,-,-,-,50 高雄市,1 一般
1019,高雄醫學大學,D 日,B 學士,"5,247","2,199","3,048",516,713,454,741,465,672,442,691,134,97,143,94,-,-,45,40,50 高雄市,1 一般
1019,高雄醫學大學,N 職,M 碩士,208,87,121,37,59,30,41,8,10,7,9,5,2,-,-,-,-,-,-,50 高雄市,1 一般
1020,南華大學,D 日,D 博士,54,33,21,6,3,7,3,6,4,6,4,5,4,2,1,1,2,-,-,10 嘉義縣,1 一般
1020,南華大學,D 日,M 碩士,552,219,333,95,142,65,91,30,65,27,35,2,-,-,-,-,-,-,-,10 嘉義縣,1 一般
1020,南華大學,D 日,B 學士,"4,199","1,986","2,213",469,539,454,534,458,543,463,539,-,-,-,-,-,-,142,58,10 嘉義縣,1 一般
1020,南華大學,N 職,M 碩士,370,140,230,68,78,31,62,17,49,14,29,10,12,-,-,-,-,-,-,10 嘉義縣,1 一般
1020,南華大學,P 進,B 學士,297,182,115,49,46,41,26,48,21,33,18,-,-,-,-,-,-,11,4,10 嘉義縣,1 一般
1021,真理大學,D 日,M 碩士,118,69,49,23,20,18,14,16,11,12,4,-,-,-,-,-,-,-,-,01 新北市,1 一般
1021,真理大學,D 日,B 學士,"4,861","2,404","2,457",544,539,680,607,538,558,481,654,-,-,-,-,-,-,161,99,01 新北市,1 一般
1021,真理大學,N 職,M 碩士,20,8,12,2,4,2,4,1,3,2,1,1,-,-,-,-,-,-,-,01 新北市,1 一般
1021,真理大學,P 進,B 學士,11,8,3,-,-,-,-,-,-,5,-,-,-,-,-,-,-,3,3,01 新北市,1 一般
1022,大同大學,D 日,D 博士,94,61,33,16,5,10,3,11,7,5,10,9,2,4,3,6,3,-,-,30 臺北市,1 一般
1022,大同大學,D 日,M 碩士,221,149,72,67,30,42,34,26,5,14,3,-,-,-,-,-,-,-,-,30 臺北市,1 一般
1022,大同大學,D 日,B 學士,"3,525","2,176","1,349",542,359,547,318,517,309,453,325,-,-,-,-,-,-,117,38,30 臺北市,1 一般
1022,大同大學,N 職,M 碩士,140,114,26,41,6,13,5,22,4,21,5,17,6,-,-,-,-,-,-,30 臺北市,1 一般
1023,南臺科技大學,D 日,D 博士,93,63,30,12,10,9,4,10,5,12,5,7,5,5,1,8,-,-,-,11 臺南市,2 技職
1023,南臺科技大學,D 日,M 碩士,753,428,325,201,128,123,105,60,43,28,29,10,10,6,10,-,-,-,-,11 臺南市,2 技職
1023,南臺科技大學,D 日,B 四技,"12,285","7,069","5,216","1,664","1,245","1,710","1,203","1,724","1,287","1,593","1,322",-,-,-,-,-,-,378,159,11 臺南市,2 技職
1023,南臺科技大學,D 日,C 二技,118,14,104,-,-,-,-,5,50,9,54,-,-,-,-,-,-,-,-,11 臺南市,2 技職
1023,南臺科技大學,D 日,5 五專,316,285,31,76,7,78,13,64,6,67,4,-,-,-,-,-,-,-,1,11 臺南市,2 技職
1023,南臺科技大學,N 職,M 碩士,311,153,158,54,58,51,62,18,16,9,14,12,5,9,3,-,-,-,-,11 臺南市,2 技職
1023,南臺科技大學,N 修,B 四技,"3,193","2,070","1,123",365,183,401,208,521,299,538,326,-,-,-,-,-,-,245,107,11 臺南市,2 技職
1023,南臺科技大學,N 修,C 二技,153,54,99,-,-,-,-,21,46,27,47,-,-,-,-,-,-,6,6,11 臺南市,2 技職
1024,崑山科技大學,D 日,D 博士,32,26,6,5,1,5,-,5,3,6,1,3,1,-,-,2,-,-,-,11 臺南市,2 技職
1024,崑山科技大學,D 日,M 碩士,299,179,120,97,61,65,46,8,5,9,8,-,-,-,-,-,-,-,-,11 臺南市,2 技職
1024,崑山科技大學,D 日,B 四技,"6,756","4,136","2,620",988,572,852,576,"1,053",673,996,698,-,-,-,-,-,-,247,101,11 臺南市,2 技職
1024,崑山科技大學,D 日,C 二技,49,23,26,-,-,-,-,23,26,-,-,-,-,-,-,-,-,-,-,11 臺南市,2 技職
1024,崑山科技大學,N 職,M 碩士,146,94,52,42,28,40,19,8,4,4,1,-,-,-,-,-,-,-,-,11 臺南市,2 技職
1024,崑山科技大學,N 修,B 四技,"2,384","1,625",759,394,171,322,162,380,186,406,183,-,-,-,-,-,-,123,57,11 臺南市,2 技職
1024,崑山科技大學,N 修,C 二技,291,163,128,-,-,-,-,93,63,67,62,-,-,-,-,-,-,3,3,11 臺南市,2 技職
1024,崑山科技大學,N 修,2 二專,13,7,6,-,-,4,5,-,-,-,-,-,-,-,-,-,-,3,1,11 臺南市,2 技職
1025,嘉南藥理大學,D 日,M 碩士,174,82,92,31,41,34,43,9,6,8,2,-,-,-,-,-,-,-,-,11 臺南市,2 技職
1025,嘉南藥理大學,D 日,B 四技,"9,010","3,815","5,195",898,"1,205",896,"1,169",976,"1,364",897,"1,361",-,-,-,-,-,-,148,96,11 臺南市,2 技職
1025,嘉南藥理大學,D 日,C 二技,94,4,90,-,-,-,-,-,48,4,41,-,-,-,-,-,-,-,1,11 臺南市,2 技職
1025,嘉南藥理大學,N 職,M 碩士,198,85,113,36,52,35,44,10,14,4,1,-,1,-,1,-,-,-,-,11 臺南市,2 技職
1025,嘉南藥理大學,N 修,B 四技,"1,461",740,721,165,142,151,132,170,186,199,229,-,-,-,-,-,-,55,32,11 臺南市,2 技職
1025,嘉南藥理大學,N 修,C 二技,521,78,443,-,-,-,-,44,239,28,202,-,-,-,-,-,-,6,2,11 臺南市,2 技職
1026,樹德科技大學,D 日,D 博士,32,13,19,3,3,-,2,1,2,3,-,6,12,-,-,-,-,-,-,12 高雄市,2 技職
1026,樹德科技大學,D 日,M 碩士,214,89,125,40,55,23,35,11,12,15,23,-,-,-,-,-,-,-,-,12 高雄市,2 技職
1026,樹德科技大學,D 日,B 四技,"7,383","3,226","4,157",791,983,694,905,756,"1,034",790,"1,107",-,-,-,-,-,-,195,128,12 高雄市,2 技職
1026,樹德科技大學,D 日,C 二技,2,-,2,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,12 高雄市,2 技職
1026,樹德科技大學,N 職,M 碩士,365,170,195,51,82,51,44,24,29,44,40,-,-,-,-,-,-,-,-,12 高雄市,2 技職
1026,樹德科技大學,N 修,B 四技,"1,114",637,477,162,139,122,89,155,116,160,108,-,-,-,-,-,-,38,25,12 高雄市,2 技職
1026,樹德科技大學,N 修,C 二技,538,231,307,-,-,-,-,118,157,106,145,-,-,-,-,-,-,7,5,12 高雄市,2 技職
1026,樹德科技大學,N 修,2 二專,395,204,191,109,92,89,88,-,-,-,-,-,-,-,-,-,-,6,11,12 高雄市,2 技職
1027,慈濟大學,D 日,D 博士,111,53,58,6,16,10,8,9,12,7,4,5,3,6,7,10,8,-,-,15 花蓮縣,1 一般
1027,慈濟大學,D 日,M 碩士,374,111,263,48,111,34,75,18,47,10,30,1,-,-,-,-,-,-,-,15 花蓮縣,1 一般
1027,慈濟大學,D 日,B 學士,"2,844","1,117","1,727",259,407,236,425,247,389,247,388,60,37,27,31,-,-,41,50,15 花蓮縣,1 一般
1027,慈濟大學,N 職,M 碩士,19,4,15,1,1,1,5,1,4,-,3,1,2,-,-,-,-,-,-,15 花蓮縣,1 一般
1028,臺北醫學大學,D 日,D 博士,581,317,264,69,65,65,54,65,49,52,45,24,21,28,18,14,12,-,-,30 臺北市,1 一般
1028,臺北醫學大學,D 日,M 碩士,691,224,467,105,215,85,194,20,37,13,20,1,1,-,-,-,-,-,-,30 臺北市,1 一般
1028,臺北醫學大學,D 日,B 學士,"4,551","1,867","2,684",410,619,342,647,391,589,342,545,179,111,155,114,-,-,48,59,30 臺北市,1 一般
